id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
791070011820887054,Leilighet på Frogner ved Solli Plass/Aker brygge,448432682,Sarah,,Frogner,59.9124867,10.7069233,Entire home/apt,1200,2,12,2024-06-01,0.67,3,231,3,
791070549115592563,Garden apartment at Sommerro,461985976,Eric,,Frogner,59.91575640000001,10.7195928,Entire home/apt,5000,2,3,2023-10-15,0.24,7,364,2,
791139195900980787,Double Room in Central Oslo,492983403,Bob,,Sentrum,59.91148519999999,10.7452831,Private room,1957,1,149,2024-06-10,9.33,4,359,113,
791785476074242486,Light and Modern Double Suite in the Heart of Oslo,492983403,Bob,,Sentrum,59.91148519999999,10.7452831,Private room,2343,1,145,2024-06-22,9.22,4,335,111,
791790922921518619,Compact Single Room with Central location in Oslo,492983403,Bob,,Sentrum,59.91148519999999,10.7452831,Private room,1695,1,97,2024-05-21,6.06,4,360,49,
791809763846195280,room in big and central apartment,493135887,Simen,,Grünerløkka,59.9259608,10.7739695,Private room,700,1,2,2023-01-12,0.11,1,83,0,
791962951992076513,Moderne leilighet 12 min fra sentrum,13579968,Merete,,Ullern,59.9296685,10.6568357,Entire home/apt,1414,2,7,2024-06-15,0.73,1,110,7,
791976661200889925,"Holmenkollen, like ved hoppbakken og skiløyper",448432682,Sarah,,Vestre Aker,59.961679,10.6697771,Entire home/apt,2000,4,17,2024-04-14,1.00,3,56,6,
792052503151901941,Just a room to sleep: That's it!,17889189,Madeleine,,Alna,59.94494318271705,10.896947192431652,Private room,446,1,6,2023-11-25,0.33,10,6,3,
792529931410974326,"Fin, praktisk 2-roms på Grünerløkka",235418127,Ida,,Grünerløkka,59.92173012013062,10.76891150954286,Entire home/apt,736,5,1,2023-07-02,0.08,1,13,1,
792671857618303183,A&R’s place,3632983,Anja & Regina,,Nordre Aker,59.96582933526369,10.773300733501657,Entire home/apt,1300,2,0,,,1,237,0,
792681708166611213,Cosy garden flat 10 min from Røa,230820520,Gregor,,Vestre Aker,59.93932950599804,10.645118684655776,Entire home/apt,1200,6,2,2024-05-29,1.71,1,26,2,
792932422293147829,Just a room to sleep: That's it!,17889189,Madeleine,,Alna,59.94462,10.89349,Private room,446,1,7,2024-06-04,0.44,10,3,4,
793331567727368645,Leilighet(75m²)+hage(40m²) 20 min fra sentrum,493480858,Helge,,Alna,59.92509499106732,10.866882308369247,Entire home/apt,1080,1,3,2023-11-19,0.21,1,179,2,
793406597213759154,Leilighet i sentrum,493486312,Emilie,,Gamle Oslo,59.9124013,10.7725626,Entire home/apt,,2,64,2024-05-11,3.61,1,4,38,
793531424717866012,Spacious and classic design flat,62829902,Tomas Midttun,,Grünerløkka,59.92350373433826,10.759719270207157,Entire home/apt,1200,23,2,2023-07-28,0.12,1,11,1,
794209414100432174,ładny pokój w centrum miasta,75169991,Joanna,,Grünerløkka,59.92105202965294,10.774755404089738,Private room,1148,2,18,2024-06-15,1.31,2,352,9,
794653802124228518,miły pokój z biurkiem,75169991,Joanna,,Grünerløkka,59.921149955985605,10.77464758334087,Private room,864,2,7,2023-09-09,0.49,2,151,3,
794788911306364800,Luxurious Scandinavian Penthouse,403188407,Servet,,St. Hanshaugen,59.92657662186558,10.74294890232356,Entire home/apt,3500,7,1,2023-06-22,0.08,1,362,0,
794878983839557185,"Sentral, lys og moderne leilighet",381690464,Marte Helle,,Frogner,59.93315089999999,10.7195894,Entire home/apt,2629,2,8,2024-06-26,0.59,1,364,6,
